Болезнь,|X|,|X_m|,ARTM_t2,NB,SA
АЗ,261, , , , 
ММЭ,1022.0,761.0,0.8966,0.9062,0.9162
ХХЭ,784.0,523.0,0.9325,0.9409,0.9527
ВДЭ,949.0,688.0,0.8213,0.8408,0.854
ЯБЭ,1027.0,766.0,0.9037,0.9157,0.9294
ГБЭ,2211.0,1950.0,0.9809,0.9578,0.9691
ИБЭ,1564.0,1303.0,0.9696,0.9728,0.9746
СДЭ,1083.0,822.0,0.9388,0.9523,0.9624
МКЭ,840.0,579.0,0.9274,0.9364,0.9456
ЖКЭ,644.0,383.0,0.9373,0.95,0.961
УЩЭ,991.0,730.0,0.9056,0.9221,0.9326
ХГЭ,992.0,731.0,0.9223,0.9339,0.9425
ДЖЭ,975.0,714.0,0.9091,0.9281,0.9494
МТЭ,626.0,365.0,0.9511,0.957,0.97
РОЭ,709.0,448.0,0.9245,0.933,0.9437
ЭА,562.0,301.0,0.85603,0.6859,0.8547
ЭГД,545.0,284.0,0.8509,0.8878,0.93032
ОПЭ,505.0,244.0,0.9822,0.9898,0.9945
